Bezirk,1 Person,2 Personen,3 Personen,4 Personen,5 Personen und mehr
Marzahn-Hellersdorf,35.9,72.2,87,95.3,NA
Spandau,34.2,67.1,79.6,87.5,NA
Reinickendorf,32.5,63.7,73.7,81.7,NA
Lichtenberg,31.7,62.5,75.3,80.3,NA
Treptow-Köpenick,31.6,62.3,72.7,79,NA
Neukölln,29.7,59.1,68.9,75.1,NA
Tempelhof-Schöneberg,29.5,57.3,66.4,73.2,63.2
Steglitz-Zehlendorf,29.4,56.7,65.6,73.3,63.1
Berlin,28.8,56.6,65.7,69.4,58.6
Pankow,28,55.1,63.2,64.1,56.4
Charlottenburg-Wilmersdorf,25.2,49.3,57.3,63.2,55.5
Mitte,24.3,45.1,51.2,56.2,49.8
Friedrichshain-Kreuzberg,23.9,46,53.9,61.1,NA
