Datum,Friedrichshain-Kreuzberg,Neukölln
2018-09-22,0,2
2018-09-29,1,5
2018-10-06,0,3
2018-10-13,0,0
2018-10-20,0,6
2018-10-27,0,2
2018-11-03,0,3
2018-11-10,0,2
2018-11-17,1,3
2018-11-24,0,4
2018-12-01,1,4
2018-12-08,1,3
2018-12-15,1,2
2018-12-22,0,3
2018-12-29,0,0
2019-01-05,1,0
2019-01-12,0,0
2019-01-19,0,1
2019-01-26,2,2
2019-02-02,0,0
2019-02-09,0,0
2019-02-16,0,2
2019-02-23,1,0
2019-03-02,0,3
2019-03-09,1,1
2019-03-16,0,1
2019-03-23,2,1
2019-03-30,0,1
2019-04-06,1,0
2019-04-13,0,3
2019-04-20,0,2
2019-04-27,0,2
2019-05-04,1,3
2019-05-11,0,1
2019-05-18,0,0
2019-05-25,0,2
2019-06-01,0,0
2019-06-08,2,0
2019-06-15,0,1
2019-06-22,1,3
2019-06-29,0,0
2019-07-06,0,5
2019-07-13,0,1
2019-07-20,0,0
2019-07-27,1,2
2019-08-03,0,5
2019-08-10,0,0
2019-08-17,0,1
2019-08-24,0,5
2019-08-31,1,3
2019-09-07,1,0
2019-09-14,0,0
2019-09-21,0,0
