geo_lor_planungsraum_id,Planungsraum,Verdrängungsdruck,Prekarität,Miethöhe
01011101,Stülerstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011102,Großer Tiergarten,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
01011103,Lützowstraße,sehr hoch,hoch,sehr hoch
01011104,Körnerstraße,sehr hoch,hoch,sehr hoch
01011105,Nördlicher Landwehrkanal,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011201,Wilhelmstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011202,Unter den Linden Nord,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011203,Unter den Linden Süd,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011204,Leipziger Straße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011301,Charitéviertel,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011302,Oranienburger Straße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011303,Alexanderplatzviertel,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011304,Karl-Marx-Allee,sehr hoch,mittel,sehr hoch
01011305,Heine-Viertel West,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011306,Heine-Viertel Ost,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011401,Invalidenstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01011402,Arkonaplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01022101,Huttenkiez,sehr hoch,sehr hoch,hoch
01022102,Beusselkiez,sehr hoch,sehr hoch,hoch
01022103,Westhafen,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
01022104,Emdener Straße,hoch,hoch,hoch
01022105,Zwinglistraße,sehr hoch,sehr hoch,hoch
01022106,Elberfelder Straße,unterdurchschnittlich,unterdurchschnittlich,hoch
01022201,Stephankiez,hoch,mittel,mittel
01022202,Heidestraße,sehr hoch,sehr hoch,sehr hoch
01022203,Lübecker Straße,hoch,sehr hoch,mittel
01022204,Thomasiusstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
01022205,Zillesiedlung,mittel,hoch,unterdurchschnittlich
01022206,Lüneburger Straße,unterdurchschnittlich,unterdurchschnittlich,hoch
01022207,Hansaviertel,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
01033101,Soldiner Straße,sehr hoch,sehr hoch,mittel
01033102,Gesundbrunnen,hoch,sehr hoch,unterdurchschnittlich
01033201,Brunnenstraße,sehr hoch,sehr hoch,sehr hoch
01033202,Humboldthain Süd,hoch,hoch,mittel
01033203,Humboldthain Nordwest,sehr hoch,sehr hoch,sehr hoch
01044101,Rehberge,hoch,hoch,mittel
01044102,Schillerpark,hoch,hoch,unterdurchschnittlich
01044103,Westliche Müllerstraße,hoch,hoch,mittel
01044201,Reinickendorfer Straße,sehr hoch,sehr hoch,unterdurchschnittlich
01044202,Sparrplatz,hoch,sehr hoch,mittel
01044203,Leopoldplatz,sehr hoch,sehr hoch,mittel
02010101,Askanischer Platz,sehr hoch,sehr hoch,sehr hoch
02010102,Mehringplatz,sehr hoch,sehr hoch,hoch
02010103,Moritzplatz,sehr hoch,sehr hoch,hoch
02010104,Wassertorplatz,sehr hoch,sehr hoch,unterdurchschnittlich
02020201,Gleisdreieck/Entwicklungsgebiet,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
02020202,Rathaus Yorckstraße,unterdurchschnittlich,mittel,hoch
02020203,Viktoriapark,unterdurchschnittlich,unterdurchschnittlich,hoch
02020204,Urbanstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
02020205,Chamissokiez,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
02020206,Graefekiez,sehr hoch,mittel,sehr hoch
02030301,Oranienplatz,sehr hoch,sehr hoch,mittel
02030302,Lausitzer Platz,hoch,hoch,hoch
02030401,Reichenberger Straße,sehr hoch,hoch,sehr hoch
02030402,Wrangelkiez,sehr hoch,hoch,sehr hoch
02040501,Barnimkiez,sehr hoch,hoch,sehr hoch
02040502,Friedenstraße,unterdurchschnittlich,mittel,sehr hoch
02040503,Richard-Sorge-Viertel,unterdurchschnittlich,unterdurchschnittlich,hoch
02040701,Andreasviertel,sehr hoch,mittel,sehr hoch
02040702,Weberwiese,unterdurchschnittlich,unterdurchschnittlich,hoch
02040703,Wriezener Bahnhof/Entwicklungsgebiet,sehr hoch,hoch,sehr hoch
02050601,Hausburgviertel,unterdurchschnittlich,mittel,hoch
02050602,Samariterviertel,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
02050801,Traveplatz,unterdurchschnittlich,mittel,sehr hoch
02050802,Boxhagener Platz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
02050803,Stralauer Kiez,unterdurchschnittlich,mittel,sehr hoch
02050804,Stralauer Halbinsel,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03010101,Bucher Forst,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03010102,Buch,mittel,hoch,unterdurchschnittlich
03010104,Lietzengraben,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
03020203,Blankenfelde,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
03020209,Niederschönhausen,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03020210,Herthaplatz,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03020307,Buchholz,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03030405,Karow Nord,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03030406,Alt-Karow,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03030711,Blankenburg,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
03030715,Heinersdorf,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03030716,Märchenland,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
03040508,Rosenthal,unterdurchschnittlich,unterdurchschnittlich,mittel
03040512,Wilhelmsruh,unterdurchschnittlich,unterdurchschnittlich,mittel
03040513,Schönholz,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03040614,Pankow Zentrum,unterdurchschnittlich,unterdurchschnittlich,mittel
03040818,Pankow Süd,unterdurchschnittlich,unterdurchschnittlich,mittel
03050919,Gustav-Adolf-Straße,unterdurchschnittlich,mittel,unterdurchschnittlich
03050920,Weißer See,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
03050923,Weißenseer Spitze,unterdurchschnittlich,unterdurchschnittlich,mittel
03050924,Behaimstraße,hoch,mittel,mittel
03050925,Komponistenviertel Weißensee,unterdurchschnittlich,unterdurchschnittlich,mittel
03051017,Rennbahnstraße,unterdurchschnittlich,unterdurchschnittlich,mittel
03051021,Buschallee,mittel,mittel,unterdurchschnittlich
03051022,Hansastraße,unterdurchschnittlich,mittel,unterdurchschnittlich
03061126,Arnimplatz,unterdurchschnittlich,unterdurchschnittlich,hoch
03061131,Falkplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03061227,Humannplatz,unterdurchschnittlich,unterdurchschnittlich,hoch
03061228,Erich-Weinert-Straße,unterdurchschnittlich,mittel,hoch
03061332,Helmholtzplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03061429,Greifswalder Straße,mittel,hoch,unterdurchschnittlich
03061430,Volkspark Prenzlauer Berg,unsichere Datenlage,hoch,unsichere Datenlage
03061434,Anton-Saefkow-Park,unterdurchschnittlich,unterdurchschnittlich,hoch
03061435,Conrad-Blenkle-Straße,hoch,mittel,hoch
03061441,Eldenaer Straße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03071536,Teutoburger Platz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03071537,Kollwitzplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
03071633,Thälmannpark,sehr hoch,mittel,sehr hoch
03071638,Winsstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
03071639,Bötzowstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04010101,Jungfernheide,hoch,sehr hoch,unterdurchschnittlich
04010103,Paul-Hertz-Siedlung,hoch,sehr hoch,unterdurchschnittlich
04020204,Olympiagelände,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04020205,Siedlung Ruhleben,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
04020206,Angerburger Allee,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
04020207,Flatowallee,unterdurchschnittlich,unterdurchschnittlich,hoch
04020208,Kranzallee,unterdurchschnittlich,unterdurchschnittlich,hoch
04020209,Eichkamp,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04020310,Park Ruhwald,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
04020311,Reichsstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
04020312,Branitzer Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04020313,Königin-Elisabeth-Straße,unterdurchschnittlich,mittel,mittel
04020314,Messegelände,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04030415,Schloßgarten,sehr hoch,sehr hoch,sehr hoch
04030416,Klausenerplatz,mittel,hoch,mittel
04030417,Schloßstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
04030518,Tegeler Weg,hoch,hoch,hoch
04030519,Kaiserin-Augusta-Allee,hoch,hoch,hoch
04030620,Alt-Lietzow,unterdurchschnittlich,mittel,hoch
04030621,Spreestadt,sehr hoch,hoch,sehr hoch
04030622,Richard-Wagner-Straße,hoch,mittel,hoch
04030623,Ernst-Reuter-Platz,sehr hoch,hoch,sehr hoch
