Anbieter,1880-1890,1890-1900,1900-1910,1910-1920,1920-1930,1930-1940,1940-1950,1950-1960,1960-1970,1970-1980,1980-1990,1990-2000,2000-2010,2010-2019
Ado Immobilien,1.3,16.6,8,2.5,1.6,2.1,0.1,5.9,20.3,30.9,3.5,6.6,0.1,0
Akelius,1.4,18.5,19.9,8.1,10.6,5.4,1.6,9.6,7,7.8,5.4,3,0.4,0.8
Degewo,0.2,0.8,0.6,0.8,5.3,2.2,0.1,8.8,10.8,14.3,30.1,8.1,0.5,17
Deutsche Wohnen,0.1,0.1,0.7,0.8,17.7,14.9,1.4,14.3,19.2,9.2,15.6,5.8,0,0
Gesobau,1,2.5,4.4,3.1,19.8,3.7,0.7,8.6,21.4,8,5.3,7.9,0,13.5
Gewobag,1.2,4.5,3.8,0.9,2.3,10.8,0.9,11.7,15.3,28.3,7.7,7.2,0,5.1
Howoge,0.1,0.8,1.5,1,6.2,4.1,0.1,6.8,5.4,17.1,36.1,3.1,0,17.7
Immonexxt,0,0,0,0,1.7,0.1,0.1,2.3,0.8,4,53.9,36.5,0.1,0.5
Stadt und Land,0,0.1,3.3,0,1.4,0.1,0,0.2,0.7,0.8,25.2,9.2,0,58.7
Vonovia,0,4.1,3.7,0.8,7.6,9.2,2.3,15.6,14.3,17.3,15.8,4.6,0.5,4.2
