Anbieter,Nettokaltmiete in €/m²,Nebenkosten in €/m²
andere Anbieter,9.83,1.5
andere Anbieter,9.04,3.21
andere Anbieter,9.74,1.95
andere Anbieter,11.96,1.96
andere Anbieter,13.67,2.45
andere Anbieter,7.03,3.19
andere Anbieter,11.49,1.49
andere Anbieter,9.91,2.55
andere Anbieter,17.18,1.92
andere Anbieter,9.59,2.78
andere Anbieter,10,1.12
andere Anbieter,10.78,2.75
andere Anbieter,10.77,2.21
andere Anbieter,9.31,2.17
andere Anbieter,11.28,2.91
andere Anbieter,9.82,2.98
andere Anbieter,8.49,1.94
andere Anbieter,17.5,3.25
andere Anbieter,9.95,2.11
andere Anbieter,17.35,3.82
andere Anbieter,12.91,2.01
andere Anbieter,15,2.5
andere Anbieter,10.25,2
andere Anbieter,8.75,2.45
andere Anbieter,9.03,1.52
andere Anbieter,9.99,1.75
andere Anbieter,12.51,2.52
andere Anbieter,12.86,1.52
andere Anbieter,15.25,3.92
andere Anbieter,8,3
andere Anbieter,9.68,2.71
andere Anbieter,9.37,2.43
andere Anbieter,9.64,2.04
andere Anbieter,11,2.98
andere Anbieter,8.62,3.54
andere Anbieter,16.17,1.83
andere Anbieter,10.44,2.38
andere Anbieter,16.67,3.33
andere Anbieter,9.99,2.11
andere Anbieter,10.33,2.31
andere Anbieter,10.54,3.15
andere Anbieter,9.11,1.56
andere Anbieter,12,2.68
andere Anbieter,8.41,2.2
andere Anbieter,9.14,1.31
andere Anbieter,8.56,2.4
andere Anbieter,10.9,2.69
andere Anbieter,12.59,2.54
andere Anbieter,7.87,2.13
andere Anbieter,20.57,2.29
andere Anbieter,12.5,1.63
andere Anbieter,14.29,1.66
andere Anbieter,9.8,2.36
andere Anbieter,7.38,2.38
andere Anbieter,7.24,1.51
andere Anbieter,11.26,2.1
andere Anbieter,9.75,2.1
andere Anbieter,8.03,2.59
andere Anbieter,8.38,0.95
andere Anbieter,14.28,2.68
andere Anbieter,9.61,2.34
andere Anbieter,17.7,2.13
andere Anbieter,6.92,2.15
andere Anbieter,29.58,3.75
andere Anbieter,14.69,1.81
andere Anbieter,14.21,3.93
andere Anbieter,12.48,2.68
andere Anbieter,9.87,2.67
andere Anbieter,9.33,1.25
andere Anbieter,10.47,1.16
andere Anbieter,9.83,1.17
andere Anbieter,9.87,2.67
andere Anbieter,17.95,6
andere Anbieter,8.06,2.06
andere Anbieter,14.09,3.73
andere Anbieter,13.94,3.64
andere Anbieter,9.5,2.33
andere Anbieter,22.5,8.1
andere Anbieter,9.94,2.09
andere Anbieter,11.44,1.56
andere Anbieter,9.71,3.86
andere Anbieter,10.96,2.79
andere Anbieter,14.32,1.86
andere Anbieter,10.29,1.62
andere Anbieter,11.15,1.58
andere Anbieter,12,2.17
andere Anbieter,8.42,3.09
andere Anbieter,15,2.5
andere Anbieter,11,2.4
andere Anbieter,10.82,1.29
andere Anbieter,14.88,3.75
andere Anbieter,11.87,2.37
andere Anbieter,12.47,3.79
andere Anbieter,9.96,2.91
andere Anbieter,10.06,2.98
andere Anbieter,10,2.38
andere Anbieter,12.65,3.16
andere Anbieter,14.21,1.8
andere Anbieter,11.42,1.59
andere Anbieter,10.47,2.53
andere Anbieter,10.29,3.6
andere Anbieter,17.55,1.83
andere Anbieter,15.54,2.93
andere Anbieter,9,2.79
andere Anbieter,14.4,2.52
andere Anbieter,10.95,1.58
andere Anbieter,10,3.47
andere Anbieter,9.27,2.18
andere Anbieter,10,2.99
andere Anbieter,7.11,1.33
andere Anbieter,15.65,2.29
andere Anbieter,7.92,1.24
andere Anbieter,10.16,2.34
andere Anbieter,10,1.47
andere Anbieter,11.89,1.96
andere Anbieter,12.48,2.7
andere Anbieter,10,2.73
andere Anbieter,8.96,2.65
andere Anbieter,8.14,3.62
andere Anbieter,11.17,0.99
andere Anbieter,10.23,2.05
andere Anbieter,9.62,2.88
andere Anbieter,13.32,1.77
andere Anbieter,10.35,1.99
andere Anbieter,9.86,3.68
andere Anbieter,11.35,4.38
andere Anbieter,10,2.43
andere Anbieter,13.51,2
andere Anbieter,14.9,1.92
andere Anbieter,8.85,1.6
andere Anbieter,8.18,3.89
andere Anbieter,13.42,4.34
andere Anbieter,12,2.7
andere Anbieter,18.16,2.24
andere Anbieter,6.5,2.12
andere Anbieter,11.88,2.71
andere Anbieter,10.32,2.06
andere Anbieter,12.81,2.5
andere Anbieter,11,3.16
andere Anbieter,10,2.6
andere Anbieter,13.07,1.93
andere Anbieter,16.65,1.25
andere Anbieter,13.5,1.93
andere Anbieter,11.95,2.67
andere Anbieter,11.02,2.05
andere Anbieter,12.75,2.32
andere Anbieter,8.25,2.45
andere Anbieter,12.38,4.46
andere Anbieter,11.13,3.23
andere Anbieter,9,3.5
andere Anbieter,8.95,1.82
andere Anbieter,9.57,2.55
andere Anbieter,11.06,3.14
andere Anbieter,10.79,1.34
andere Anbieter,8.45,2.16
andere Anbieter,10.18,2.82
andere Anbieter,10.49,4.03
andere Anbieter,9.75,2.5
andere Anbieter,11.32,2.36
andere Anbieter,16.1,1.49
andere Anbieter,8.9,1.81
andere Anbieter,12.44,2.52
andere Anbieter,10,2.94
andere Anbieter,12,3.06
andere Anbieter,10.55,2.36
andere Anbieter,15.22,3.7
andere Anbieter,12.69,1.19
andere Anbieter,14.23,4.23
andere Anbieter,7.83,2.91
andere Anbieter,12,2.25
andere Anbieter,12,1.96
andere Anbieter,9.66,3.01
andere Anbieter,15.45,4
andere Anbieter,7.8,2.06
andere Anbieter,9.08,1.17
andere Anbieter,9.36,2.27
andere Anbieter,19.71,2.86
andere Anbieter,10.62,3.08
andere Anbieter,11.58,1.81
andere Anbieter,11.63,2.33
andere Anbieter,16.52,1.52
andere Anbieter,14.62,2.85
andere Anbieter,10.33,3.4
andere Anbieter,10,2.46
andere Anbieter,7.97,2.9
andere Anbieter,12.95,0.98
andere Anbieter,12,2
andere Anbieter,9.44,2.08
andere Anbieter,11.1,2.56
andere Anbieter,8,2.31
andere Anbieter,9.14,2.07
andere Anbieter,6.4,3.22
andere Anbieter,9.33,2.58
andere Anbieter,9.84,2.86
andere Anbieter,15,3.3
andere Anbieter,11.63,2.63
andere Anbieter,8.88,1.62
andere Anbieter,18,2.02
andere Anbieter,7.67,1.64
andere Anbieter,14.78,2.1
andere Anbieter,11.18,2.81
andere Anbieter,12.63,2.42
andere Anbieter,8.15,1.45
andere Anbieter,9.64,1.18
andere Anbieter,7.38,1.92
andere Anbieter,11,2.59
andere Anbieter,13.1,3.6
andere Anbieter,9.55,1.64
andere Anbieter,11.58,2.33
andere Anbieter,12.41,2.23
andere Anbieter,12.73,3.09
andere Anbieter,11.43,1.29
andere Anbieter,22.95,3.59
andere Anbieter,9.4,3.28
andere Anbieter,17.14,2.67
andere Anbieter,14.06,2.6
andere Anbieter,8.57,2.99
andere Anbieter,16.5,2.23
andere Anbieter,9.48,1.6
andere Anbieter,8.26,2.27
andere Anbieter,12.09,2.66
andere Anbieter,8.95,2.73
andere Anbieter,12.63,2.95
andere Anbieter,8.94,1.98
andere Anbieter,13.12,1.56
andere Anbieter,8.44,2.97
andere Anbieter,8.52,1.42
andere Anbieter,8,3.29
andere Anbieter,12.74,1.4
andere Anbieter,14.7,2.58
andere Anbieter,17.14,2.14
andere Anbieter,12.46,2.16
andere Anbieter,17.52,1.84
andere Anbieter,12,3.47
andere Anbieter,10,2.67
andere Anbieter,10.56,2.68
andere Anbieter,11.05,1.37
andere Anbieter,13.58,2.33
andere Anbieter,11,1.97
andere Anbieter,10.23,1.86
andere Anbieter,9.5,2.5
andere Anbieter,15,2.8
andere Anbieter,7.76,1.31
andere Anbieter,9.8,2.98
andere Anbieter,12.49,2.06
andere Anbieter,9.47,2.24
andere Anbieter,11.69,2.5
andere Anbieter,6.84,2.11
andere Anbieter,16,4
