geo_ortsteil_id,geo_ortsteil,Überschreitung des Mietspiegels in €/m²,Überschreitung des Mietspiegels in %,Anzahl der Angebote
0101,Mitte,6.75,73,1732
0102,Moabit,5.5,78,962
0103,Hansaviertel,6.53,91,71
0104,Tiergarten,7.07,79,277
0105,Wedding,4.64,69,985
0106,Gesundbrunnen,4.4,67,729
0201,Friedrichshain,5.99,81,1890
0202,Kreuzberg,6.46,92,1075
0301,Prenzlauer Berg,6,79,2177
0302,Weißensee,3.38,46,682
0303,Blankenburg,NA,NA,NA
0304,Heinersdorf,1.82,27,55
0305,Karow,0.75,9,216
0306,Stadtrandsiedlung Malchow,NA,NA,NA
0307,Pankow,4,57,742
0308,Blankenfelde,NA,NA,NA
0309,Buch,1.82,27,127
0310,Französisch Buchholz,2.3,28,180
0311,Niederschönhausen,2.42,31,401
0312,Rosenthal,2.46,32,72
0313,Wilhelmsruh,1.78,21,118
0401,Charlottenburg,5.46,68,1716
0402,Wilmersdorf,5.25,66,1019
0403,Schmargendorf,4.4,57,247
0404,Grunewald,5.57,62,122
0405,Westend,4.15,55,385
0406,Charlottenburg-Nord,3.28,55,105
0407,Halensee,4.91,65,200
0501,Spandau,2.36,36,632
0502,Haselhorst,1.59,22,136
0503,Siemensstadt,2.78,44,164
0504,Staaken,1.41,23,510
0505,Gatow,NA,NA,NA
0506,Kladow,NA,NA,NA
0507,Hakenfelde,1.79,26,359
0508,Falkenhagener Feld,2.01,32,680
0509,Wilhelmstadt,2.7,42,542
0601,Steglitz,3.59,50,811
0602,Lichterfelde,2.89,41,750
0603,Lankwitz,2.69,39,339
0604,Zehlendorf,3.35,44,447
0605,Dahlem,3.69,43,128
0606,Nikolassee,2.8,32,112
0607,Wannsee,3.05,36,69
0701,Schöneberg,5.25,75,809
0702,Friedenau,3.91,52,161
0703,Tempelhof,4.11,59,510
0704,Mariendorf,2.39,33,436
0705,Marienfelde,1.78,26,148
0706,Lichtenrade,1.3,17,396
0801,Neukölln,5.25,77,1613
0802,Britz,2.14,32,476
0803,Buckow,1.28,19,225
0804,Rudow,0.86,11,196
0805,Gropiusstadt,1.89,32,227
0901,Alt-Treptow,4.49,48,100
0902,Plänterwald,2.76,41,97
0903,Baumschulenweg,2.3,33,259
0904,Johannisthal,3.2,47,249
0905,Niederschöneweide,2.34,29,183
0906,Altglienicke,0.78,10,109
0907,Adlershof,1.9,24,356
0908,Bohnsdorf,NA,NA,NA
0909,Oberschöneweide,2.04,30,422
0910,Köpenick,1.96,26,989
0911,Friedrichshagen,1.78,24,157
0912,Rahnsdorf,NA,NA,NA
0913,Grünau,2.41,26,161
0914,Müggelheim,NA,NA,NA
0915,Schmöckwitz,NA,NA,NA
1001,Marzahn,1.16,19,843
1002,Biesdorf,2.02,28,155
1003,Kaulsdorf,2.32,35,80
1004,Mahlsdorf,1.41,16,61
1005,Hellersdorf,1.6,26,1158
1101,Friedrichsfelde,3.25,52,664
1102,Karlshorst,1.86,24,297
1103,Lichtenberg,3.47,49,379
1106,Malchow,NA,NA,NA
1107,Wartenberg,NA,NA,NA
1109,Neu-Hohenschönhausen,1.58,23,381
1110,Alt-Hohenschönhausen,2.01,27,445
1111,Fennpfuhl,3.33,52,205
1112,Rummelsburg,3.74,44,376
1201,Reinickendorf,2.67,42,945
1202,Tegel,2.84,40,399
1203,Konradshöhe,NA,NA,NA
1204,Heiligensee,NA,NA,NA
1205,Frohnau,1.87,22,68
1206,Hermsdorf,1.85,23,77
1207,Waidmannslust,0.97,16,175
1208,Lübars,NA,NA,NA
1209,Wittenau,2.26,32,233
1210,Märkisches Viertel,1.22,21,184
1211,Borsigwalde,2.35,36,55
