Eigentümer,Baujahr aggregiert (10 J.),Nettokaltmiete in €/m²
privat,1880-1890,14.2
privat,1890-1900,13.36
privat,1900-1910,12.93
privat,1910-1920,12.7
privat,1920-1930,11.16
privat,1930-1940,10.75
privat,1940-1950,11.27
privat,1950-1960,11.72
privat,1960-1970,10.9
privat,1970-1980,9.88
privat,1980-1990,9.73
privat,1990-2000,10.86
privat,2000-2010,14.25
privat,2010-2019,16.05
städtisch,1880-1890,8.86
städtisch,1890-1900,8.18
städtisch,1900-1910,8.87
städtisch,1910-1920,8.23
städtisch,1920-1930,7.99
städtisch,1930-1940,7.82
städtisch,1940-1950,7.38
städtisch,1950-1960,7.2
städtisch,1960-1970,7.09
städtisch,1970-1980,6.86
städtisch,1980-1990,6.68
städtisch,1990-2000,8.25
städtisch,2000-2010,13.77
städtisch,2010-2019,9.87
