Bezirk,1 Person,2 Personen,3 Personen,4 Personen,5 Personen und mehr
Tempelhof-Schöneberg,44.8,85.5,98.2,113.3,99.1
Neukölln,44.7,85.4,99.1,110.8,NA
Lichtenberg,44,85,102.2,108.2,NA
Reinickendorf,43.7,84.2,98.6,106.9,NA
Steglitz-Zehlendorf,43.4,83.2,97,107.5,91.6
Berlin,43.3,82.2,94.8,103.4,92.3
Spandau,43.3,83.1,97.1,108.3,NA
Marzahn-Hellersdorf,43.2,83.9,100.4,109.8,NA
Charlottenburg-Wilmersdorf,43.1,82.7,96.5,105.8,93.2
Friedrichshain-Kreuzberg,43.1,81.6,93.2,101.4,NA
Mitte,42.7,77.4,76.6,78.4,69.8
Pankow,42.2,78.9,88.9,93.2,89
Treptow-Köpenick,40.4,77.4,88.7,94.1,NA
