is_anbieter_exprop,geo_lat,geo_lon
Deutsche Wohnen,52.5533,13.1657
Deutsche Wohnen,52.5543,13.1657
Deutsche Wohnen,52.556,13.1665
Deutsche Wohnen,52.5222,13.1922
Deutsche Wohnen,52.541,13.6158
Deutsche Wohnen,52.4554,13.2676
Deutsche Wohnen,52.5266,13.5671
Deutsche Wohnen,52.5538,13.1651
Deutsche Wohnen,52.5485,13.2122
Deutsche Wohnen,52.5555,13.1656
Deutsche Wohnen,52.5592,13.4681
Deutsche Wohnen,52.5258,13.57
Deutsche Wohnen,52.5406,13.6183
Deutsche Wohnen,52.5486,13.1878
Deutsche Wohnen,52.526,13.567
Deutsche Wohnen,52.5219,13.1929
Deutsche Wohnen,52.5538,13.1649
Deutsche Wohnen,52.4381,13.4318
Deutsche Wohnen,52.4607,13.4849
Deutsche Wohnen,52.5215,13.2003
Deutsche Wohnen,52.5419,13.616
Deutsche Wohnen,52.541,13.6154
Deutsche Wohnen,52.5131,13.5309
Deutsche Wohnen,52.5844,13.3893
Deutsche Wohnen,52.4278,13.4544
Deutsche Wohnen,52.4078,13.3568
Deutsche Wohnen,52.4077,13.3572
Deutsche Wohnen,52.5856,13.388
Deutsche Wohnen,52.4335,13.4606
Deutsche Wohnen,52.4406,13.3963
Deutsche Wohnen,52.5472,13.2618
Deutsche Wohnen,52.4409,13.4031
Deutsche Wohnen,52.4398,13.2783
Deutsche Wohnen,52.5323,13.6058
Deutsche Wohnen,52.5492,13.189
Deutsche Wohnen,52.55,13.1793
Deutsche Wohnen,52.4131,13.321
Deutsche Wohnen,52.5471,13.1884
Deutsche Wohnen,52.4131,13.3184
Deutsche Wohnen,52.4132,13.315
Deutsche Wohnen,52.5656,13.2124
Deutsche Wohnen,52.3835,13.3972
Deutsche Wohnen,52.4255,13.4631
Deutsche Wohnen,52.4601,13.4389
Deutsche Wohnen,52.5928,13.3199
Deutsche Wohnen,52.5309,13.6046
Deutsche Wohnen,52.471,13.4911
Deutsche Wohnen,52.5667,13.3153
Deutsche Wohnen,52.5917,13.3328
Deutsche Wohnen,52.5918,13.3321
Deutsche Wohnen,52.5486,13.1878
Deutsche Wohnen,52.5533,13.1657
Deutsche Wohnen,52.5466,13.5996
Deutsche Wohnen,52.5444,13.6004
Deutsche Wohnen,52.5202,13.2016
Deutsche Wohnen,52.5197,13.1997
Deutsche Wohnen,52.4851,13.3167
Deutsche Wohnen,52.5341,13.5395
Deutsche Wohnen,52.5267,13.2218
Deutsche Wohnen,52.442,13.5694
Deutsche Wohnen,52.414,13.3224
Deutsche Wohnen,52.4419,13.5693
Deutsche Wohnen,52.4188,13.4039
Deutsche Wohnen,52.5689,13.3493
Deutsche Wohnen,52.4111,13.325
Deutsche Wohnen,52.412,13.3249
Deutsche Wohnen,52.5478,13.1789
Deutsche Wohnen,52.556,13.1665
Deutsche Wohnen,52.4609,13.4852
Deutsche Wohnen,52.4682,13.5058
Deutsche Wohnen,52.4688,13.5071
Deutsche Wohnen,52.462,13.4843
Deutsche Wohnen,52.5131,13.5309
Deutsche Wohnen,52.5392,13.2722
Deutsche Wohnen,52.4609,13.4851
Deutsche Wohnen,52.5208,13.1915
Deutsche Wohnen,52.5404,13.5686
Deutsche Wohnen,52.4438,13.457
Deutsche Wohnen,52.5474,13.5917
Deutsche Wohnen,52.5471,13.5917
Deutsche Wohnen,52.5457,13.5898
Deutsche Wohnen,52.542,13.6202
Deutsche Wohnen,52.546,13.5932
Deutsche Wohnen,52.5338,13.5397
Deutsche Wohnen,52.5309,13.542
Deutsche Wohnen,52.5459,13.2089
Deutsche Wohnen,52.5544,13.5652
Deutsche Wohnen,52.4602,13.4406
Deutsche Wohnen,52.5215,13.2003
Deutsche Wohnen,52.4122,13.3125
Deutsche Wohnen,52.4295,13.360900000000001
Deutsche Wohnen,52.4295,13.3615
Deutsche Wohnen,52.4978,13.41
Deutsche Wohnen,52.5727,13.3511
Deutsche Wohnen,52.5201,13.1996
Deutsche Wohnen,52.5727,13.3608
Deutsche Wohnen,52.5185,13.2022
Deutsche Wohnen,52.5505,13.1961
Deutsche Wohnen,52.5646,13.2051
Deutsche Wohnen,52.5631,13.2035
Deutsche Wohnen,52.5082,13.5052
Deutsche Wohnen,52.5546,13.1653
Deutsche Wohnen,52.5547,13.1651
Deutsche Wohnen,52.4234,13.4968
Deutsche Wohnen,52.4237,13.4972
Deutsche Wohnen,52.5266,13.2205
Deutsche Wohnen,52.52,13.201
Deutsche Wohnen,52.5187,13.2025
Deutsche Wohnen,52.5555,13.5655
Deutsche Wohnen,52.4421,13.5694
Deutsche Wohnen,52.5199,13.2002
Deutsche Wohnen,52.4982,13.4183
Deutsche Wohnen,52.5402,13.6154
Deutsche Wohnen,52.4595,13.4382
Deutsche Wohnen,52.5413,13.6187
Deutsche Wohnen,52.5392,13.6158
Deutsche Wohnen,52.5404,13.6188
Deutsche Wohnen,52.5497,13.1775
Deutsche Wohnen,52.5493,13.1828
Deutsche Wohnen,52.5461,13.5913
Deutsche Wohnen,52.5124,13.5321
Deutsche Wohnen,52.5489,13.1831
Deutsche Wohnen,52.4453,13.4454
Deutsche Wohnen,52.5505,13.1833
Deutsche Wohnen,52.5505,13.1745
Deutsche Wohnen,52.5495,13.1835
Deutsche Wohnen,52.5497,13.426
Deutsche Wohnen,52.5736,13.3629
Deutsche Wohnen,52.5213,13.1981
Deutsche Wohnen,52.4592,13.2711
Deutsche Wohnen,52.462,13.4843
Deutsche Wohnen,52.5273,13.2194
Deutsche Wohnen,52.4554,13.2676
Deutsche Wohnen,52.4553,13.2677
Deutsche Wohnen,52.526,13.567
Deutsche Wohnen,52.4441,13.4092
Deutsche Wohnen,52.5184,13.4855
Deutsche Wohnen,52.608,13.3436
Deutsche Wohnen,52.4403,13.3982
Deutsche Wohnen,52.5674,13.3517
Deutsche Wohnen,52.5674,13.3517
Deutsche Wohnen,52.5475,13.2598
Deutsche Wohnen,52.548,13.2611
Deutsche Wohnen,52.5534,13.4236
Deutsche Wohnen,52.5505,13.1961
Deutsche Wohnen,52.5639,13.2054
Deutsche Wohnen,52.5689,13.3493
Deutsche Wohnen,52.5777,13.4245
Deutsche Wohnen,52.5671,13.5229
Deutsche Wohnen,52.4122,13.3125
Deutsche Wohnen,52.4131,13.3537
Deutsche Wohnen,52.5341,13.614
Deutsche Wohnen,52.4965,13.418
Deutsche Wohnen,52.572,13.3343
Deutsche Wohnen,52.5505,13.1965
Deutsche Wohnen,52.5642,13.2055
Deutsche Wohnen,52.4243,13.4972
Deutsche Wohnen,52.5735,13.35
Deutsche Wohnen,52.5735,13.35
Deutsche Wohnen,52.5716,13.357
Deutsche Wohnen,52.4131,13.3184
Deutsche Wohnen,52.6164,13.4901
Deutsche Wohnen,52.5413,13.6229
Deutsche Wohnen,52.4381,13.5989
Deutsche Wohnen,52.5701,13.3576
Deutsche Wohnen,52.5492,13.189
Deutsche Wohnen,52.5005,13.3974
Deutsche Wohnen,52.5005,13.3974
Deutsche Wohnen,52.5004,13.3981
Deutsche Wohnen,52.5219,13.1928
Deutsche Wohnen,52.5707,13.3338
Deutsche Wohnen,52.4424,13.5687
Deutsche Wohnen,52.5354,13.2844
Deutsche Wohnen,52.5004,13.3981
Deutsche Wohnen,52.433,13.2156
Deutsche Wohnen,52.5479,13.186
Deutsche Wohnen,52.5535,13.4775
Deutsche Wohnen,52.5206,13.2899
Deutsche Wohnen,52.4669,13.4307
Deutsche Wohnen,52.5488,13.1886
Deutsche Wohnen,52.5196,13.1931
Deutsche Wohnen,52.5218,13.2003
Deutsche Wohnen,52.4596,13.4381
Deutsche Wohnen,52.4595,13.4382
Deutsche Wohnen,52.5493,13.1806
Deutsche Wohnen,52.54,13.1864
Deutsche Wohnen,52.5597,13.5133
Deutsche Wohnen,52.5149,13.4393
Deutsche Wohnen,52.5218,13.2003
Deutsche Wohnen,52.412,13.3113
Deutsche Wohnen,52.4301,13.3489
Deutsche Wohnen,52.5647,13.2056
Deutsche Wohnen,52.5356,13.2051
Deutsche Wohnen,52.536,13.2054
Deutsche Wohnen,52.5469,13.2252
Deutsche Wohnen,52.5462,13.2258
Deutsche Wohnen,52.5341,13.1507
Deutsche Wohnen,52.5343,13.1526
Deutsche Wohnen,52.5341,13.154
Deutsche Wohnen,52.5334,13.1533
Deutsche Wohnen,52.5336,13.1526
Deutsche Wohnen,52.4407,13.4017
Deutsche Wohnen,52.5203,13.1996
Deutsche Wohnen,52.5529,13.4845
Deutsche Wohnen,52.5397,13.6175
Deutsche Wohnen,52.5278,13.4661
Deutsche Wohnen,52.4137,13.3203
Deutsche Wohnen,52.4132,13.3216
Deutsche Wohnen,52.4405,13.4023
Deutsche Wohnen,52.4628,13.5214
Deutsche Wohnen,52.5533,13.4815
Deutsche Wohnen,52.4424,13.4109
Deutsche Wohnen,52.5341,13.1519
Deutsche Wohnen,52.4448,13.4493
Deutsche Wohnen,52.5413,13.6214
Deutsche Wohnen,52.4124,13.3192
Deutsche Wohnen,52.5533,13.1657
Deutsche Wohnen,52.555,13.1661
Deutsche Wohnen,52.4416,13.2485
Deutsche Wohnen,52.4689,13.3179
Deutsche Wohnen,52.5422,13.4373
Deutsche Wohnen,52.5465,13.1848
Deutsche Wohnen,52.5482,13.1852
Deutsche Wohnen,52.5482,13.1845
Deutsche Wohnen,52.5479,13.1839
Deutsche Wohnen,52.5493,13.5613
Deutsche Wohnen,52.4555,13.4316
Deutsche Wohnen,52.5375,13.276
Deutsche Wohnen,52.5503,13.1973
Deutsche Wohnen,52.4416,13.4098
Deutsche Wohnen,52.5458,13.1846
Deutsche Wohnen,52.5482,13.1852
Deutsche Wohnen,52.5213,13.1981
Deutsche Wohnen,52.5535,13.4775
Deutsche Wohnen,52.5283,13.4637
Deutsche Wohnen,52.408,13.3573
Deutsche Wohnen,52.5528,13.379
Deutsche Wohnen,52.5561,13.3768
Deutsche Wohnen,52.5755,13.2874
Deutsche Wohnen,52.5655,13.2122
Deutsche Wohnen,52.4513,13.2547
Deutsche Wohnen,52.4355,13.4513
Deutsche Wohnen,52.5777,13.4245
Deutsche Wohnen,52.5464,13.5927
Deutsche Wohnen,52.547,13.5929
Deutsche Wohnen,52.546,13.593
Deutsche Wohnen,52.5687,13.4239
Deutsche Wohnen,52.5687,13.4253
Deutsche Wohnen,52.5471,13.1885
Deutsche Wohnen,52.5481,13.1888
Deutsche Wohnen,52.5509,13.1858
Deutsche Wohnen,52.4565,13.4308
Deutsche Wohnen,52.5675,13.3126
Deutsche Wohnen,52.4244,13.4959
Deutsche Wohnen,52.5753,13.2796
Deutsche Wohnen,52.5715,13.4259
